Name,Et_eV,Sn_cm2,Sp_cm2,k,BG,Actual,Predict
D-338354,-0.220289358,-16.54352352,-16.02837334,-0.515150181,0,-0.515150181,-0.518716151
D-200610,-0.079814945,-16.31532674,-13.09968821,-3.215638531,0,-3.215638531,-3.000114365
D-351209,-0.205489417,-14.04983233,-16.18621496,2.136382633,0,2.136382633,2.129564414
D-496304,-0.067620457,-14.84278969,-16.92594955,2.083159858,0,2.083159858,2.097026447
D-383159,0.157388232,-14.61871399,-15.49400784,0.875293857,1,0.875293857,0.877855908
D-225515,0.112595273,-14.60056011,-13.6757328,-0.924827319,1,-0.924827319,-0.925877661
D-103675,-0.457653571,-13.39179141,-13.21858305,-0.173208354,0,-0.173208354,-0.173437745
D-205665,-0.080688834,-16.01599984,-15.48962312,-0.52637672,0,-0.52637672,-0.519507811
D-291385,-0.002980358,-16.70175997,-13.41872614,-3.283033825,0,-3.283033825,-2.953508536
D-264034,0.395533798,-13.74872064,-14.26695464,0.51823401,1,0.51823401,0.561640859
D-396606,-0.378500396,-14.36120991,-13.16948074,-1.191729177,0,-1.191729177,-1.079768961
D-176726,-0.20942316,-15.89781895,-14.9224289,-0.975390056,0,-0.975390056,-0.979611107
D-397256,0.280950602,-13.57454376,-14.30618093,0.731637162,1,0.731637162,0.731646051
D-232438,0.161970095,-14.1255259,-13.61553625,-0.509989645,1,-0.509989645,-0.511688892
D-451591,0.242947356,-15.63474708,-14.26544469,-1.369302392,1,-1.369302392,-1.383735699
D-071828,0.278956119,-16.65367311,-14.96873797,-1.684935139,1,-1.684935139,-1.86394212
D-345201,-0.164091894,-13.78694836,-14.77231243,0.98536407,0,0.98536407,0.989158035
D-130088,0.253278608,-15.18930398,-15.20399146,0.014687476,1,0.014687476,0.01832235
D-428602,-0.084241219,-13.10369919,-15.65892792,2.555228734,0,2.555228734,2.560105884
D-133729,0.094423037,-15.90256542,-14.28622363,-1.616341794,1,-1.616341794,-1.621384198
D-441770,0.213621212,-14.28787194,-14.56028202,0.27241008,1,0.27241008,0.275217071
D-154804,0.12085154,-15.70272498,-15.54083957,-0.161885415,1,-0.161885415,-0.162167742
D-028345,0.11815211,-14.84778963,-14.91949056,0.071700929,1,0.071700929,0.070918775
D-381965,0.21492938,-13.17626505,-16.12675524,2.950490187,1,2.950490187,2.97719855
D-234468,-0.119975777,-13.41278764,-15.11186787,1.699080224,0,1.699080224,1.695508284
D-058788,-0.130843054,-13.46874846,-16.95095307,3.482204605,0,3.482204605,3.567912215
D-021592,-0.455266683,-13.75517013,-13.82150647,0.066336338,0,0.066336338,0.028164994
D-061540,-0.329433152,-14.48120944,-15.37188163,0.890672183,0,0.890672183,0.892618933
D-077530,-0.273081296,-13.8247911,-13.85423541,0.029444304,0,0.029444304,0.019070417
D-393704,0.145645536,-13.71246427,-13.52798624,-0.184478033,1,-0.184478033,-0.182257021
D-142219,-0.246516416,-13.39861962,-15.03740504,1.638785419,0,1.638785419,1.637479346
D-455260,-0.463398896,-13.34032342,-15.02507148,1.684748053,0,1.684748053,1.673897696
D-426023,0.246593803,-15.00886567,-15.53468094,0.525815271,1,0.525815271,0.529949603
D-205690,0.28540066,-15.33427355,-15.4421069,0.107833345,1,0.107833345,0.106794135
D-190058,0.184294221,-15.55155002,-15.70832457,0.156774555,1,0.156774555,0.157480337
D-443007,0.205140066,-14.11440256,-16.52873377,2.414331205,1,2.414331205,2.437621858
D-223500,0.236488961,-14.86221952,-13.43538588,-1.426833646,1,-1.426833646,-1.46106684
D-223173,-0.130129486,-13.27469746,-14.08330924,0.808611777,0,0.808611777,0.803765088
D-165030,0.463535397,-14.57858021,-13.44969254,-1.128887673,1,-1.128887673,-0.790919828
D-337129,-0.022909372,-15.83165341,-16.56957718,0.737923768,0,0.737923768,0.739585654
D-182884,0.12622417,-15.64385778,-15.77079525,0.126937466,1,0.126937466,0.131244326
D-381746,0.053160546,-14.14502013,-13.71823551,-0.426784623,1,-0.426784623,-0.429734433
D-015449,-0.189086978,-13.25392591,-15.31638673,2.062460822,0,2.062460822,2.06042154
D-135537,0.417262463,-13.20712763,-13.21595322,0.00882559,1,0.00882559,0.058842004
D-388731,-0.424559043,-13.53229121,-14.18764542,0.655354212,0,0.655354212,0.577599265
D-225628,0.330465476,-16.87719441,-13.87688949,-3.00030492,1,-3.00030492,-3.176510116
D-107348,0.236167052,-14.14861745,-15.64736534,1.498747892,1,1.498747892,1.499326897
D-072296,0.377334918,-14.95951759,-13.07549398,-1.884023604,1,-1.884023604,-1.836859974
D-085543,0.291505914,-16.65906538,-13.81795826,-2.841107116,1,-2.841107116,-2.90777923
D-103526,0.006548778,-13.39399354,-14.20829102,0.814297473,1,0.814297473,0.81351967
D-105692,-0.008730161,-16.10680888,-13.00128245,-3.105526429,0,-3.105526429,-2.887547019
D-439123,0.353234266,-14.65745176,-14.71914845,0.061696687,1,0.061696687,0.073399851
D-301927,-0.323408919,-15.42047259,-16.76695507,1.346482479,0,1.346482479,1.360913592
D-053608,-0.022268807,-13.00210237,-15.87485599,2.872753624,0,2.872753624,2.802857873
D-346090,0.215573434,-13.34094501,-13.87291275,0.531967739,1,0.531967739,0.53074619
D-053828,0.267046334,-16.68829044,-15.58953283,-1.098757605,1,-1.098757605,-1.138909738
D-429655,-0.225499441,-13.65436053,-13.70828991,0.053929379,0,0.053929379,0.054911236
D-368319,-0.163607204,-15.49666439,-15.29249063,-0.204173761,0,-0.204173761,-0.205026503
D-369879,-0.113955115,-13.72533063,-13.82585172,0.10052109,0,0.10052109,0.098122819
D-223039,-0.285784092,-14.20153577,-15.64929981,1.447764046,0,1.447764046,1.448468371
D-121554,0.42059276,-15.38732677,-13.17010959,-2.217217184,1,-2.217217184,-2.139155318
D-103796,0.096634584,-13.9115283,-15.89903659,1.987508291,1,1.987508291,1.989941406
D-090911,-0.367559864,-13.31794802,-15.43858516,2.120637148,0,2.120637148,2.109735708
D-020337,0.204315253,-13.50431939,-14.47482778,0.970508393,1,0.970508393,0.97547788
D-105117,0.20885201,-13.98761593,-15.94015244,1.952536504,1,1.952536504,1.955347474
D-499934,-0.231002904,-14.17275062,-14.11292395,-0.059826674,0,-0.059826674,-0.059114395
D-330236,0.217925979,-13.14617903,-14.30716567,1.160986638,1,1.160986638,1.164595025
D-481718,0.000990956,-13.80115447,-14.31416377,0.513009306,1,0.513009306,0.513714031
D-069101,-0.159460918,-14.19384908,-15.37025962,1.176410534,0,1.176410534,1.177254354
D-306001,0.128299297,-14.86389624,-13.34118614,-1.522710107,1,-1.522710107,-1.537366636
D-029841,-0.252525956,-13.53858503,-16.78545846,3.246873436,0,3.246873436,3.254560586
D-229274,-0.073468567,-16.67779186,-13.81017007,-2.867621788,0,-2.867621788,-2.923956025
D-361109,0.237097368,-16.41432763,-13.79096858,-2.623359042,1,-2.623359042,-2.756078028
D-241239,0.092956856,-14.4372445,-15.61933575,1.182091248,1,1.182091248,1.187949364
D-127316,-0.070264828,-14.12173017,-13.80415096,-0.317579207,0,-0.317579207,-0.318587542
D-049314,0.382945823,-13.02377801,-14.03924057,1.015462562,1,1.015462562,0.934956952
D-203385,0.114014626,-14.4079955,-15.31494644,0.906950931,1,0.906950931,0.906174793
D-034522,0.125547576,-13.35844813,-16.34808505,2.98963692,1,2.98963692,3.016875311
D-199264,0.166170329,-14.43364759,-16.66217359,2.228526001,1,2.228526001,2.223247986
D-392714,0.084997106,-15.5621231,-14.48442433,-1.077698771,1,-1.077698771,-1.085265529
D-268346,0.094509604,-15.69717657,-16.90216977,1.204993195,1,1.204993195,1.202139394
D-488113,-0.162125487,-16.8817033,-13.90699104,-2.974712263,0,-2.974712263,-3.138029737
D-130594,0.004137906,-16.9489423,-13.45824712,-3.490695174,1,-3.490695174,-3.343737347
D-254717,-0.217766582,-13.80434273,-16.8028741,2.998531366,0,2.998531366,3.003683941
D-133290,0.2233251,-16.12964956,-16.2139169,0.084267346,1,0.084267346,0.084149719
D-085668,-0.034843573,-15.35725557,-14.20525905,-1.15199652,0,-1.15199652,-1.154019251
D-208069,-0.095921335,-13.40602241,-16.46568885,3.059666438,0,3.059666438,3.069529488
D-255926,-0.257240589,-16.34825552,-15.85191204,-0.496343482,0,-0.496343482,-0.502251459
D-159023,0.152626977,-13.45539124,-13.73878284,0.283391597,1,0.283391597,0.281006015
D-325397,-0.296145903,-13.35529433,-13.35804103,0.0027467,0,0.0027467,0.000996539
D-205723,0.263446422,-15.62206959,-16.16817259,0.546102996,1,0.546102996,0.546410084
D-422750,0.244975202,-15.13080551,-14.75497486,-0.375830649,1,-0.375830649,-0.376795069
D-103786,-0.397972491,-14.51556571,-16.10619921,1.590633499,0,1.590633499,1.674180621
D-114647,0.127313715,-16.58170198,-14.37024258,-2.211459399,1,-2.211459399,-2.241319321
D-383818,-0.01419778,-14.45651085,-15.23409375,0.777582902,0,0.777582902,0.776671547
D-462367,-0.08190125,-14.86626724,-14.42243555,-0.443831689,0,-0.443831689,-0.442457278
D-176032,-0.141250071,-14.99733146,-13.07398377,-1.92334769,0,-1.92334769,-1.852747788
D-196446,-0.042224137,-15.47240225,-15.03105089,-0.441351356,0,-0.441351356,-0.446402887
D-347434,-0.42779915,-13.9949679,-15.81876675,1.823798853,0,1.823798853,1.824110822
D-120332,0.247149787,-14.07084575,-13.19389352,-0.876952232,1,-0.876952232,-0.88565109
D-195461,0.113504417,-14.79036449,-16.28318546,1.492820976,1,1.492820976,1.494329695
D-168096,0.271078967,-13.03812224,-15.45210002,2.413977776,1,2.413977776,2.405532232
D-050902,-0.102564195,-13.7175543,-13.75836778,0.040813479,0,0.040813479,0.036216379
D-029260,-0.265714843,-13.86249294,-13.79929323,-0.063199709,0,-0.063199709,-0.070305214
D-137610,-0.311253797,-15.40313659,-16.34762801,0.944491424,0,0.944491424,0.944147786
D-132220,0.061396122,-16.78849019,-16.30578646,-0.482703725,1,-0.482703725,-0.482920004
D-225841,0.068074244,-13.48925318,-15.81988994,2.33063676,1,2.33063676,2.33419594
D-267106,-0.077255656,-15.84312834,-15.73556361,-0.107564733,0,-0.107564733,-0.107416001
D-232791,-0.014571172,-16.40245598,-14.58797029,-1.814485687,0,-1.814485687,-1.874309671
D-403956,0.023228432,-16.16906129,-13.05221725,-3.116844045,1,-3.116844045,-2.854525516
D-011444,-0.226824254,-15.26952518,-13.46614964,-1.803375537,0,-1.803375537,-1.775103967
D-347907,0.249613493,-16.78603927,-15.26657064,-1.519468632,1,-1.519468632,-1.589898114
D-355365,-0.449862224,-13.393079,-14.76096727,1.367888274,0,1.367888274,1.272082234
D-283905,-0.288910034,-15.22350779,-16.16862335,0.945115558,0,0.945115558,0.942077206
D-453437,-0.273498938,-13.72964507,-13.40021593,-0.329429144,0,-0.329429144,-0.337084164
D-460875,0.430421632,-13.38112765,-13.84858654,0.467458893,1,0.467458893,0.296636667
D-287615,-0.2658193,-13.31071411,-15.89137331,2.580659203,0,2.580659203,2.578482353
D-043614,0.005141949,-14.35288429,-13.69416216,-0.658722127,1,-0.658722127,-0.662519597
D-155010,0.168822606,-15.61310478,-13.96037549,-1.652729295,1,-1.652729295,-1.683846491
D-472554,-0.200794587,-13.11022215,-16.12069229,3.01047014,0,3.01047014,3.013899246
D-300915,0.040334756,-16.66805824,-14.0440476,-2.62401064,1,-2.62401064,-2.980675791
D-359442,-0.330903268,-14.13640146,-16.8837972,2.74739574,0,2.74739574,2.753899694
D-443920,0.070607469,-15.52611698,-15.15585043,-0.370266542,1,-0.370266542,-0.376033673
D-403777,0.349463014,-13.69823161,-13.82403915,0.125807539,1,0.125807539,0.131253278
D-079785,-0.126171632,-13.67598608,-16.63806747,2.962081383,0,2.962081383,2.955123652
D-086043,0.324756811,-13.47155198,-15.02045678,1.548904796,1,1.548904796,1.599813764
D-490760,-0.331566989,-14.95232252,-16.8307965,1.87847398,0,1.87847398,1.863556966
D-133044,0.107091879,-13.33738475,-16.42472599,3.087341239,1,3.087341239,3.081061711
D-396934,0.163969328,-13.68097522,-14.44967901,0.768703785,1,0.768703785,0.767771138
D-006845,-0.239906574,-16.48473308,-15.70580787,-0.778925208,0,-0.778925208,-0.7794411
D-469284,-0.19000457,-16.04133055,-13.72315362,-2.318176936,0,-2.318176936,-2.426008851
D-357541,0.126712345,-13.95364056,-14.31275046,0.359109899,1,0.359109899,0.356498348
D-251430,-0.007847677,-15.97136107,-16.28532995,0.313968875,0,0.313968875,0.313032427
D-419852,0.18919712,-15.36455882,-14.7937895,-0.570769324,1,-0.570769324,-0.576449137
D-004416,0.366236926,-16.20796891,-13.06872523,-3.139243679,1,-3.139243679,-2.715397537
D-355150,0.275098975,-16.79201075,-14.99466466,-1.797346083,1,-1.797346083,-2.141946831
D-019213,0.131384586,-16.88841783,-14.05993961,-2.828478219,1,-2.828478219,-3.163818611
D-057618,0.311016505,-15.91668219,-13.35346684,-2.563215351,1,-2.563215351,-2.555101635
D-164447,0.069223749,-16.43749363,-14.4068164,-2.030677238,1,-2.030677238,-2.080321898
D-205528,0.010028491,-13.62129118,-14.00223599,0.380944813,1,0.380944813,0.383638195
D-421476,0.022388628,-14.44718774,-15.38756195,0.940374211,1,0.940374211,0.942132593
D-357596,0.186999061,-15.67657417,-15.98062907,0.304054904,1,0.304054904,0.308435022
D-147250,-0.138801491,-13.81352602,-13.98730318,0.173777159,0,0.173777159,0.166162694
D-012559,0.394928563,-15.60261577,-13.32349988,-2.27911589,1,-2.27911589,-2.248791298
D-412047,-0.155055055,-16.25942455,-15.95241095,-0.307013602,0,-0.307013602,-0.307833753
D-301761,-0.29088752,-15.34071186,-16.90346336,1.5627515,0,1.5627515,1.560662893
D-418006,0.085225007,-13.00430476,-14.3454193,1.34111454,1,1.34111454,1.328722465
D-055597,-0.316622315,-14.99196511,-14.26744487,-0.724520246,0,-0.724520246,-0.737434174
D-232373,0.132133324,-15.04919162,-15.20204773,0.152856118,1,0.152856118,0.149370265
D-233418,-0.138911809,-14.36587064,-15.40624871,1.040378067,0,1.040378067,1.034666616
D-326427,-0.006910245,-15.5079256,-15.31251367,-0.195411931,0,-0.195411931,-0.194421232
D-212412,0.253411867,-14.56593591,-13.17194802,-1.393987893,1,-1.393987893,-1.385783799
D-306365,0.16738367,-13.65184475,-14.30924268,0.65739793,1,0.65739793,0.660696801
D-309786,0.23262028,-13.99906346,-14.56920311,0.570139649,1,0.570139649,0.571406886
D-443555,-0.155585856,-14.9168824,-15.75845254,0.841570144,0,0.841570144,0.838873195
D-131892,-0.422739176,-14.16896227,-15.99577888,1.82681661,0,1.82681661,1.845742656
D-013875,0.283322596,-16.36497791,-14.16013992,-2.204837983,1,-2.204837983,-2.304021279
D-193762,-0.05108843,-14.8462708,-13.93664315,-0.909627645,0,-0.909627645,-0.920604531
D-466145,-0.229556145,-14.45050582,-16.97391821,2.523412385,0,2.523412385,2.531117954
D-310438,-0.383024841,-13.95463351,-13.69589851,-0.258734999,0,-0.258734999,-0.258263338
D-453081,-0.046402601,-13.64270512,-15.76139785,2.118692728,0,2.118692728,2.125888229
D-425636,-0.023252173,-14.66177461,-13.94649664,-0.715277975,0,-0.715277975,-0.715485337
D-374387,-0.206680479,-14.14534278,-16.32568462,2.18034184,0,2.18034184,2.181807739
D-019686,-0.294553894,-13.07349706,-14.68204555,1.608548482,0,1.608548482,1.606269092
D-070959,0.384335929,-16.04017803,-13.32065217,-2.719525868,1,-2.719525868,-2.676162577
D-018680,0.490746672,-14.8220033,-13.03142778,-1.790575526,1,-1.790575526,-1.674429706
D-184566,-0.192643859,-14.89035805,-15.43101253,0.54065448,0,0.54065448,0.541471773
D-143834,0.129733445,-16.11038791,-16.56013507,0.44974716,1,0.44974716,0.445002179
D-345412,-0.083736194,-13.50676508,-15.40611805,1.899352978,0,1.899352978,1.899420971
D-307165,0.251062366,-14.89204051,-15.32527629,0.433235784,1,0.433235784,0.427279902
D-099007,0.010404385,-14.525918,-14.26786088,-0.258057118,1,-0.258057118,-0.25800204
D-385138,-0.140537812,-14.70370083,-13.32901,-1.374690834,0,-1.374690834,-1.39754268
D-160558,-0.042657697,-16.94350211,-15.93582909,-1.007673023,0,-1.007673023,-1.014496624
D-297709,-0.128907706,-14.50807045,-15.06170752,0.553637072,0,0.553637072,0.551487309
D-055316,-0.218732381,-15.42018603,-13.4650888,-1.95509723,0,-1.95509723,-1.965980038
D-152443,0.137970616,-14.07109812,-14.91541885,0.844320738,1,0.844320738,0.845912134
D-284844,0.249484301,-13.45540979,-13.69526025,0.239850456,1,0.239850456,0.239064428
D-118722,-0.192048155,-14.35869586,-16.44518187,2.086486019,0,2.086486019,2.07980644
D-167538,-0.1904072,-16.96323462,-13.93410541,-3.029129207,0,-3.029129207,-2.745157208
D-409994,0.092942012,-13.29170326,-15.85871575,2.567012483,1,2.567012483,2.561814767
D-455626,0.208516744,-15.57706111,-16.00802097,0.430959867,1,0.430959867,0.427315355
D-328552,-0.288329797,-15.04761698,-15.01126489,-0.036352085,0,-0.036352085,-0.036683851
D-435661,-0.36964152,-13.65869807,-14.27097575,0.612277684,0,0.612277684,0.607276207
D-408936,0.120608158,-15.08494916,-14.72334821,-0.361600951,1,-0.361600951,-0.368874016
D-495635,0.149210573,-14.458389,-16.5031977,2.044808692,1,2.044808692,2.04875034
D-177567,0.327634854,-15.68431174,-14.44332182,-1.240989912,1,-1.240989912,-1.263354864
D-389790,0.223437639,-15.1383413,-15.22384897,0.085507669,1,0.085507669,0.077267115
D-205728,-0.047091075,-16.8274129,-13.23329461,-3.594118292,0,-3.594118292,-3.292095608
D-094884,-0.359558307,-13.16209228,-15.28368129,2.121589012,0,2.121589012,2.116990822
D-238341,0.089087864,-14.27155815,-14.78069542,0.509137275,1,0.509137275,0.514916508
D-477258,0.169975146,-15.00601067,-13.79269481,-1.213315863,1,-1.213315863,-1.210058192
D-497706,0.193300732,-14.22897061,-13.83090972,-0.398060892,1,-0.398060892,-0.405816058
D-372538,0.352481003,-16.23045704,-13.6517029,-2.578754144,1,-2.578754144,-2.750941548
D-163841,-0.085678895,-15.91532761,-14.40469797,-1.510629643,0,-1.510629643,-1.545378679
D-205191,-0.10648442,-14.00023622,-14.14944553,0.149209307,0,0.149209307,0.146459303
D-219337,-0.181554191,-13.84765628,-15.41130673,1.563650451,0,1.563650451,1.552531308
D-488349,-0.209091132,-15.53482761,-13.10563525,-2.429192354,0,-2.429192354,-2.238191368
D-446496,-0.314990827,-14.22989847,-13.75572685,-0.474171611,0,-0.474171611,-0.474141281
D-378283,-0.08203712,-15.02074345,-16.71336944,1.692625987,0,1.692625987,1.68934034
D-129986,0.31419823,-14.0624591,-14.06374008,0.001280978,1,0.001280978,-0.006526998
D-332572,-0.158948389,-14.97545907,-15.68073165,0.705272574,0,0.705272574,0.704240344
D-356463,-0.235881534,-15.8903801,-15.85117879,-0.039201309,0,-0.039201309,-0.036616651
D-381475,0.053840808,-14.16223963,-13.01940319,-1.142836441,1,-1.142836441,-1.101847269
D-071871,0.315221716,-13.1648299,-13.15516241,-0.009667488,1,-0.009667488,-0.004624615
D-224152,-0.064093699,-15.13435563,-14.29908453,-0.835271105,0,-0.835271105,-0.839717756
D-480097,0.387641854,-14.44341157,-14.17969906,-0.263712516,1,-0.263712516,-0.262087719
D-253428,-0.280819207,-13.72032236,-14.53835519,0.818032832,0,0.818032832,0.813983334
D-179680,-0.211778934,-15.01107154,-16.70020268,1.689131143,0,1.689131143,1.696372623
D-283939,0.052864975,-16.40297829,-15.43469504,-0.968283253,1,-0.968283253,-0.965514914
D-028249,0.197450975,-14.72215108,-14.36905177,-0.35309931,1,-0.35309931,-0.349442117
D-226926,-0.349075972,-15.0131446,-13.72291468,-1.290229916,0,-1.290229916,-1.342538349
D-164403,0.033993352,-13.50905181,-16.29297647,2.783924659,1,2.783924659,2.773259039
D-210051,0.122551417,-13.39104994,-15.74478934,2.353739399,1,2.353739399,2.359937078
D-027737,-0.037887466,-15.08080042,-14.46152165,-0.619278765,0,-0.619278765,-0.621261475
D-234675,-0.045793233,-14.01376989,-13.04469963,-0.969070266,0,-0.969070266,-0.959923665
D-237514,0.221174228,-14.69904261,-15.74543741,1.046394795,1,1.046394795,1.05144145
D-240950,-0.268822557,-15.43904686,-14.17156321,-1.267483644,0,-1.267483644,-1.272440381
D-339889,0.143934438,-15.3283308,-13.83385054,-1.494480253,1,-1.494480253,-1.541974337
D-288075,-0.209917859,-16.42378539,-13.80255263,-2.621232759,0,-2.621232759,-2.719486587
D-005569,-0.163280006,-16.28845172,-15.22283984,-1.065611888,0,-1.065611888,-1.067495848
D-009840,-0.290446335,-13.16540111,-15.39088249,2.225481378,0,2.225481378,2.23219171
D-389269,-0.342991641,-13.76442062,-13.18842464,-0.575995978,0,-0.575995978,-0.57317862
D-436048,-0.08537068,-14.9838919,-16.46643407,1.482542176,0,1.482542176,1.480284279
D-206279,0.182090296,-15.56941172,-15.05737736,-0.512034357,1,-0.512034357,-0.515386405
D-175328,-0.204389793,-15.99558857,-15.63034826,-0.365240317,0,-0.365240317,-0.36359653
D-146929,-0.287223641,-13.98723007,-14.47850627,0.491276206,0,0.491276206,0.493850897
D-469744,0.182734632,-15.28120332,-14.67861299,-0.602590322,1,-0.602590322,-0.604414336
D-050329,-0.23200868,-14.33214818,-14.48889175,0.156743573,0,0.156743573,0.160336154
D-225524,0.338787196,-16.0443757,-13.99232541,-2.052050289,1,-2.052050289,-2.20470503
D-077308,0.485003128,-15.70994741,-13.0440551,-2.665892315,1,-2.665892315,-2.622553974
D-183281,0.260843045,-14.02866809,-15.63261989,1.6039518,1,1.6039518,1.613203954
D-096268,-0.127468809,-14.31089138,-16.24288934,1.931997956,0,1.931997956,1.935038212
D-142805,0.311486881,-16.29970247,-13.73601613,-2.563686345,1,-2.563686345,-2.653905204
D-258344,-0.41622275,-13.50913194,-13.99449169,0.485359747,0,0.485359747,0.446323501
D-129426,0.166122807,-16.60377263,-13.48898629,-3.11478634,1,-3.11478634,-3.001431707
D-023693,-0.30037853,-14.54681874,-15.53814096,0.991322221,0,0.991322221,0.989308984
D-356474,0.240001416,-14.8769483,-13.84405117,-1.032897125,1,-1.032897125,-1.026187828
D-086143,0.276753465,-14.3864891,-15.21225339,0.825764291,1,0.825764291,0.828034809
D-107133,0.358779673,-16.90185683,-13.90849051,-2.993366322,1,-2.993366322,-3.111442991
D-353191,0.320970342,-16.13962384,-14.69350908,-1.446114757,1,-1.446114757,-1.500753891
D-165757,-0.014560603,-14.91121388,-16.27138886,1.360174978,0,1.360174978,1.357024165
D-281773,-0.086568825,-14.10836088,-14.25865221,0.150291329,0,0.150291329,0.149680128
D-248448,0.23480661,-16.34489429,-15.66110655,-0.683787732,1,-0.683787732,-0.693671349
D-307220,0.098354005,-16.78448904,-15.91411659,-0.870372452,1,-0.870372452,-0.873800894
D-180324,0.07116487,-13.33528985,-14.30959157,0.974301716,1,0.974301716,0.975712068
D-009418,-0.004412612,-14.12281756,-15.97777202,1.854954456,0,1.854954456,1.859446912
D-206545,-0.012249955,-14.57942627,-16.19552278,1.61609651,0,1.61609651,1.617878255
D-244354,0.024815799,-13.89353876,-15.07741708,1.183878322,1,1.183878322,1.182955471
D-304634,-0.285733698,-13.45382196,-16.03735626,2.583534296,0,2.583534296,2.580704432
D-108042,-0.249586387,-14.72305194,-14.54859493,-0.174457016,0,-0.174457016,-0.17196308
D-214797,-0.09964116,-14.9734233,-16.47260945,1.499186154,0,1.499186154,1.498112918
D-036444,0.321208498,-14.96881495,-15.34874656,0.37993161,1,0.37993161,0.380831482
D-026572,-0.068080173,-16.75298958,-15.90836151,-0.844628065,0,-0.844628065,-0.835535164
D-178100,0.111436678,-13.52891944,-13.71467422,0.185754776,1,0.185754776,0.184370024
D-394123,0.145270357,-16.33476852,-16.22302887,-0.111739645,1,-0.111739645,-0.112598716
D-331388,-0.022915876,-13.64909505,-13.83105214,0.181957094,0,0.181957094,0.174058967
